iso3,year,salt_intake_pd_median,salt_intake_pd_median_female,salt_intake_pd_median_male
AFG,2000,2.97,2.86,2.95
AFG,2001,2.98,2.86,2.97
AFG,2002,2.98,2.86,2.97
AFG,2003,2.99,2.86,2.97
AFG,2004,2.99,2.87,2.97
AFG,2005,2.99,2.85,2.99
AFG,2006,3.0,2.87,2.97
AFG,2007,3.0,2.87,2.97
AFG,2008,3.0,2.88,2.97
AFG,2009,3.01,2.88,2.98
AFG,2010,3.04,2.91,2.98
AFG,2011,3.01,2.88,2.98
AFG,2012,3.02,2.89,2.98
AFG,2013,3.02,2.89,2.98
AFG,2014,3.03,2.89,2.98
AFG,2015,3.01,2.87,2.97
AFG,2016,3.03,2.9,2.98
AFG,2017,3.04,2.9,2.99
AFG,2018,3.04,2.91,2.99
AFG,2019,3.04,2.9,2.99
AFG,2020,3.05,2.91,2.99
AGO,2000,1.93,1.83,1.93
AGO,2001,1.95,1.85,1.94
AGO,2002,1.94,1.85,1.94
AGO,2003,1.94,1.84,1.93
AGO,2004,1.94,1.84,1.93
AGO,2005,1.95,1.85,1.93
AGO,2006,1.93,1.83,1.92
AGO,2007,1.92,1.82,1.92
AGO,2008,1.92,1.81,1.92
AGO,2009,1.91,1.81,1.91
AGO,2010,1.93,1.84,1.94
AGO,2011,1.9,1.8,1.91
AGO,2012,1.9,1.79,1.9
AGO,2013,1.89,1.78,1.9
AGO,2014,1.89,1.78,1.89
AGO,2015,1.88,1.77,1.87
AGO,2016,1.88,1.77,1.89
AGO,2017,1.87,1.76,1.88
AGO,2018,1.85,1.73,1.88
AGO,2019,1.86,1.75,1.88
AGO,2020,1.86,1.74,1.87
ALB,2000,2.17,1.99,2.19
ALB,2001,2.18,2.01,2.2
ALB,2002,2.19,2.02,2.22
ALB,2003,2.2,2.03,2.23
ALB,2004,2.22,2.04,2.24
ALB,2005,2.19,2.03,2.2
ALB,2006,2.24,2.06,2.27
ALB,2007,2.25,2.07,2.28
ALB,2008,2.26,2.08,2.29
ALB,2009,2.27,2.09,2.3
ALB,2010,2.34,2.15,2.41
ALB,2011,2.29,2.11,2.33
ALB,2012,2.3,2.12,2.34
ALB,2013,2.31,2.13,2.35
ALB,2014,2.32,2.15,2.37
ALB,2015,2.34,2.14,2.38
ALB,2016,2.35,2.17,2.39
ALB,2017,2.36,2.18,2.4
ALB,2018,2.34,2.18,2.38
ALB,2019,2.38,2.2,2.43
ALB,2020,2.39,2.21,2.44
ARE,2000,4.38,4.39,4.34
ARE,2001,4.26,4.28,4.23
ARE,2002,4.24,4.26,4.21
ARE,2003,4.22,4.24,4.19
ARE,2004,4.2,4.22,4.17
ARE,2005,4.11,4.14,4.09
ARE,2006,4.16,4.18,4.13
ARE,2007,4.14,4.16,4.11
ARE,2008,4.11,4.13,4.09
ARE,2009,4.09,4.11,4.07
ARE,2010,3.97,3.99,3.95
ARE,2011,4.05,4.07,4.03
ARE,2012,4.03,4.05,4.01
ARE,2013,4.01,4.03,3.99
ARE,2014,3.99,4.01,3.97
ARE,2015,3.97,3.99,3.95
ARE,2016,3.94,3.96,3.92
ARE,2017,3.92,3.94,3.9
ARE,2018,3.97,3.99,3.95
ARE,2019,3.88,3.9,3.86
ARE,2020,3.86,3.88,3.84
ARG,2000,2.3,2.09,2.49
ARG,2001,2.28,2.08,2.48
ARG,2002,2.28,2.08,2.48
ARG,2003,2.28,2.08,2.48
ARG,2004,2.28,2.08,2.48
ARG,2005,2.26,2.06,2.46
ARG,2006,2.28,2.08,2.48
ARG,2007,2.28,2.08,2.48
ARG,2008,2.28,2.08,2.48
ARG,2009,2.28,2.08,2.48
ARG,2010,2.27,2.07,2.47
ARG,2011,2.28,2.08,2.48
ARG,2012,2.28,2.08,2.48
ARG,2013,2.28,2.08,2.48
ARG,2014,2.28,2.08,2.48
ARG,2015,2.28,2.08,2.48
ARG,2016,2.27,2.08,2.48
ARG,2017,2.27,2.08,2.48
ARG,2018,2.28,2.08,2.48
ARG,2019,2.27,2.08,2.48
ARG,2020,2.27,2.08,2.48
ARM,2000,1.97,1.8,2.02
ARM,2001,2.04,1.86,2.09
ARM,2002,2.05,1.87,2.1
ARM,2003,2.06,1.89,2.11
ARM,2004,2.07,1.9,2.12
ARM,2005,2.14,1.95,2.19
ARM,2006,2.1,1.92,2.15
ARM,2007,2.11,1.93,2.16
